dataset,size,algorithm,avg_time_us,char_comparisons
almost_sorted,2000,ternary_string_quicksort,6046.402,62973
almost_sorted,2000,string_mergesort_lcp,5467.203,22866
almost_sorted,2000,msd_radix_sort,1806.762,0
almost_sorted,2000,msd_radix_sort_hybrid,1874.612,13358
almost_sorted,3000,standard_quicksort,12827.616,422889
almost_sorted,3000,standard_mergesort,6874.536,36022
almost_sorted,3000,ternary_string_quicksort,11184.438,116148
almost_sorted,3000,string_mergesort_lcp,8533.465,36022
almost_sorted,3000,msd_radix_sort,2700.094,0
almost_sorted,3000,msd_radix_sort_hybrid,2701.527,19623
common_prefix,100,standard_quicksort,593.352,18720
common_prefix,100,standard_mergesort,290.727,4967
common_prefix,100,ternary_string_quicksort,93.570,1428
common_prefix,100,string_mergesort_lcp,336.098,4967
common_prefix,100,msd_radix_sort,281.798,0
common_prefix,100,msd_radix_sort_hybrid,215.705,66
common_prefix,500,standard_quicksort,3831.611,117932
common_prefix,500,standard_mergesort,1982.123,35475
common_prefix,500,ternary_string_quicksort,565.123,8054
common_prefix,500,string_mergesort_lcp,2285.064,35475
common_prefix,500,msd_radix_sort,1195.551,0
common_prefix,500,msd_radix_sort_hybrid,1034.707,1063
common_prefix,1000,standard_quicksort,8071.743,248912
common_prefix,1000,standard_mergesort,4587.666,80978
common_prefix,1000,ternary_string_quicksort,1177.324,17379
common_prefix,1000,string_mergesort_lcp,5035.572,80978
common_prefix,1000,msd_radix_sort,2288.689,0
common_prefix,1000,msd_radix_sort_hybrid,2145.257,2986
common_prefix,2000,standard_quicksort,16622.677,518965
common_prefix,2000,standard_mergesort,9910.563,182290
common_prefix,2000,ternary_string_quicksort,2419.326,36365
common_prefix,2000,string_mergesort_lcp,10612.273,182290
common_prefix,2000,msd_radix_sort,4645.400,0
common_prefix,2000,msd_radix_sort_hybrid,4400.533,8233
common_prefix,3000,standard_quicksort,26182.466,808853
common_prefix,3000,standard_mergesort,15594.085,291699
common_prefix,3000,ternary_string_quicksort,4173.358,58883
common_prefix,3000,string_mergesort_lcp,17148.259,291699
common_prefix,3000,msd_radix_sort,7085.349,0
common_prefix,3000,msd_radix_sort_hybrid,6438.333,14561
